tick,player_x,player_y,player_z,player_yaw,player_pitch,on_ground,my_vx,my_vy,my_vz,my_hurt,my_health,target_x,target_y,target_z,target_dist,tgt_vx,tgt_vz,tgt_hurt,tgt_health,out_w,out_a,out_s,out_d,out_sprint,out_jump,out_left_click,out_right_click
220881,491141.41350559675,82.0,4116.54855543058,254.127,-1.234,1,0.1944,0.0,0.139,0,17.3,491144.8645833333,82.86458333333333,4115.833333333333,3.629,0.1146,-0.0104,4,9.0,1,0,0,1,0,0,0,0
220882,491141.6332285882,82.0,4116.687652002111,251.659,-4.318,1,0.2197,0.0,0.1391,0,17.3,491144.9791666666,82.91666666666666,4115.822916666666,3.575,0.1146,-0.0104,3,9.0,1,0,0,1,1,0,1,0
220883,491141.8694060131,82.0,4116.821870009233,249.5,-5.655,1,0.2362,0.0,0.1342,0,17.3,491145.09027777775,82.88194444444444,4115.809027777777,3.49,0.1111,-0.0139,2,9.0,1,0,0,1,1,0,0,0
220884,491142.1176391286,82.0,4116.850398358212,250.734,-6.374,1,0.2482,0.0,0.0285,0,17.3,491145.2013888889,82.84722222222223,4115.795138888889,3.368,0.1111,-0.0139,1,9.0,1,0,0,0,1,0,1,0
220885,491142.3733882097,82.0,4116.8237919013,251.762,-4.832,1,0.2557,0.0,-0.0266,0,17.3,491145.2696759259,82.66898148148148,4115.790509259259,3.147,0.0683,-0.0046,0,9.0,1,0,0,0,1,0,0,0
220886,491142.5156210767,82.0,4116.6989564935575,255.463,-3.701,1,0.1422,0.0,-0.1248,0,17.3,491145.3379629629,82.49074074074073,4115.78587962963,3.007,0.0683,-0.0046,0,9.0,1,1,0,0,1,0,1,0
220887,491142.65908448165,82.0,4116.518681260437,258.445,-1.028,1,0.1435,0.0,-0.1803,0,17.3,491145.3294753086,82.32716049382715,4115.794753086419,2.786,-0.0085,0.0089,0,9.0,1,1,0,0,1,0,0,0
220888,491142.7776426246,82.0,4116.351090934137,261.427,1.131,1,0.1186,0.0,-0.1676,0,17.3,491145.32098765427,82.16358024691357,4115.803626543209,2.607,-0.0085,0.0089,0,9.0,1,1,0,0,1,0,1,0
220889,491142.9194955631,82.0,4116.154932561436,265.231,4.215,1,0.1419,0.0,-0.1962,0,17.3,491145.18274176953,82.10905349794238,4115.80658436214,2.292,-0.1382,0.003,10,7.5,1,1,0,0,1,0,0,0
220890,491143.0807978465,82.0,4115.948486859592,269.343,5.655,1,0.1613,0.0,-0.2064,0,17.3,491145.30932784633,82.18728566529492,4115.693972908093,2.251,0.1266,-0.1126,9,7.5,1,1,0,0,1,0,0,0
220891,491143.2244293741,82.0,4115.787810251001,272.222,6.683,1,0.1436,0.0,-0.1607,0,17.3,491145.49788523087,82.33319044352994,4115.556398605396,2.309,0.1886,-0.1376,8,7.5,1,1,0,0,1,0,0,0
220892,491143.366863717,82.0,4115.646840679925,274.998,5.141,1,0.1424,0.0,-0.141,0,17.3,491145.68644261546,82.47909522176496,4115.418824302698,2.379,0.1886,-0.1376,7,7.5,1,1,0,0,1,0,1,0
220893,491143.54410460277,82.0,4115.486173198737,273.558,2.57,1,0.1772,0.0,-0.1607,0,17.3,491145.9263784103,82.63189681450997,4115.258382868466,2.475,0.2399,-0.1604,6,7.5,1,1,0,0,1,0,0,0
220894,491143.72932894505,82.0,4115.441350786901,272.325,-1.748,1,0.1852,0.0,-0.0448,0,17.3,491146.16631420515,82.78469840725498,4115.097941434233,2.583,0.2399,-0.1604,5,7.5,1,0,0,0,1,0,1,0
220895,491143.9577601157,82.0,4115.421957557704,269.343,-4.215,1,0.2284,0.0,-0.0194,0,17.3,491146.37129280344,82.83563227150331,4114.9715442894885,2.594,0.205,-0.1264,4,7.5,1,0,0,0,1,0,0,0
220896,491144.209873934,82.0,4115.409805459356,268.932,-4.935,1,0.2521,0.0,-0.0122,0,17.3,491146.5762714017,82.88656613575165,4114.845147144744,2.589,0.205,-0.1264,3,7.5,1,0,0,0,1,0,1,0
220897,491144.4749027438,82.0,4115.400630002391,268.006,-1.851,1,0.265,0.0,-0.0092,0,17.3,491146.71751426783,82.78896075716777,4114.7405147631625,2.467,0.1412,-0.1046,2,7.5,1,0,0,0,1,0,0,0
220898,491144.74692918273,82.0,4115.391126264479,266.567,-0.0,1,0.272,0.0,-0.0095,0,17.3,491146.85875713394,82.69135537858389,4114.635882381581,2.347,0.1412,-0.1046,1,8.5,1,0,0,0,1,0,1,0
220899,491145.02261585696,82.0,4115.3781249618605,260.81,3.804,1,0.2757,0.0,-0.013,0,17.3,491146.947504756,82.46090358572259,4114.5593382543875,2.142,0.0887,-0.0765,0,8.5,1,0,0,0,1,0,0,0
220900,491145.1924871047,82.0,4115.367882949737,255.361,4.421,1,0.1699,0.0,-0.0102,0,17.3,491147.036252378,82.23045179286129,4114.482794127194,2.058,0.0887,-0.0765,0,8.5,1,0,0,0,0,0,1,1
220901,491145.408479262,82.0,4115.33000994441,250.117,5.346,1,0.216,0.0,-0.0379,0,17.3,491146.9825015853,82.15363452857419,4114.4572794181295,1.806,-0.0538,-0.0255,0,8.5,1,0,0,0,1,0,0,0
220902,491145.6461649057,82.0,4115.265859963362,248.884,4.935,1,0.2377,0.0,-0.0641,0,17.3,491146.92875079263,82.07681726428709,4114.431764709065,1.532,-0.0538,-0.0255,0,8.5,1,0,0,0,0,0,0,0
220903,491145.8948692006,82.0,4115.283333058449,248.781,4.215,1,0.2487,0.0,0.0175,10,16.45,491146.75458386174,82.05121150952472,4114.4024264727095,1.232,-0.1742,-0.0293,0,8.5,1,0,0,1,1,0,0,0
220904,491145.59737751074,82.36,4115.657524552735,248.164,4.112,0,-0.2975,0.36,0.3742,9,16.45,491146.58041693084,82.02560575476235,4114.373088236354,1.652,-0.1742,-0.0293,10,8.5,1,0,0,1,1,0,0,0
220905,491145.45885967324,82.63440000534058,4115.872040254538,242.304,8.225,0,-0.1385,0.2744,0.2145,8,16.45,491146.3661112872,82.0170705031749,4114.363308824236,1.866,-0.2143,-0.0098,9,7.0,1,0,0,1,1,0,1,0
