player_yaw,player_pitch,target_dist,ideal_yaw,ideal_pitch,yaw_error,pitch_error,on_ground,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
-29.4,6.17,3.421,-43.31,7.0,-13.91,0.83,1,1,0,0,1,0,0,0
-33.72,9.15,3.062,-49.41,7.81,-15.69,-1.34,1,1,0,0,1,0,1,0
-42.87,6.37,3.175,-51.36,13.2,-8.49,6.82,0,1,0,0,1,0,1,0
-56.65,9.56,3.136,-53.5,17.56,3.15,8.0,0,1,0,0,1,0,0,0
-65.8,8.84,3.008,-55.72,21.12,10.08,12.28,0,1,0,0,1,0,1,0
-70.42,10.18,2.843,-57.98,23.72,12.44,13.54,0,1,0,0,1,0,0,0
-72.27,10.69,2.631,-60.16,25.37,12.11,14.68,0,1,0,0,1,0,1,0
-66.72,10.8,2.368,-62.77,26.01,3.95,15.21,0,1,0,0,1,0,0,0
-66.0,11.82,2.068,-65.36,25.22,0.64,13.39,0,1,0,0,1,0,1,0
-66.1,11.31,1.998,-65.95,16.2,0.16,4.89,0,1,0,0,0,0,0,0
-70.42,13.47,2.094,-65.28,3.26,5.14,-10.21,1,1,0,0,0,0,0,0
-69.39,12.03,2.286,-64.21,-2.41,5.18,-14.44,1,1,0,0,0,0,1,0
-69.19,11.31,2.641,-63.53,-6.68,5.66,-17.99,1,1,0,0,0,0,0,1
-67.96,8.64,2.921,-63.14,-9.04,4.81,-17.68,1,1,0,0,0,0,0,1
-64.25,6.48,3.037,-62.71,-10.43,1.54,-16.91,1,1,0,0,0,0,0,0
-59.73,2.98,3.049,-62.46,-11.57,-2.73,-14.55,1,1,0,0,0,0,1,0
-59.52,1.13,2.96,-62.44,-11.45,-2.92,-12.58,1,1,0,0,0,0,0,0
-59.11,0.72,2.782,-62.57,-10.25,-3.45,-10.97,1,1,0,0,0,0,1,0
-55.82,-0.31,2.573,-60.64,-7.48,-4.81,-7.17,1,1,1,0,0,0,0,0
-52.84,1.44,2.479,-57.65,-2.28,-4.81,-3.72,1,0,1,0,0,0,1,0
-52.02,1.54,2.704,-54.73,-0.39,-2.71,-1.93,1,0,1,0,0,0,0,0
-53.36,2.67,3.008,-52.82,-0.14,0.53,-2.82,1,1,1,0,0,0,0,0
-53.05,2.26,3.365,-51.95,-0.19,1.1,-2.45,1,1,1,0,0,0,1,0
-48.83,1.54,3.712,-51.12,-0.04,-2.29,-1.58,1,1,1,0,0,0,0,0
-43.9,0.1,4.03,-50.3,0.64,-6.41,0.53,1,1,1,0,0,0,1,0
-39.89,-0.31,4.33,-49.67,1.22,-9.79,1.52,1,1,1,0,0,0,0,0
-40.61,0.1,4.322,-47.52,2.53,-6.91,2.43,1,1,1,0,0,0,0,0
-40.4,-0.21,4.262,-45.06,3.59,-4.66,3.79,1,1,1,0,0,0,0,0
-40.61,-0.1,4.185,-42.13,4.49,-1.52,4.59,1,1,1,0,0,0,0,0
-38.86,-1.13,4.118,-39.11,5.41,-0.25,6.54,1,1,1,0,0,0,0,0
-36.8,-0.51,3.885,-35.67,6.03,1.14,6.54,1,1,1,0,0,0,0,0
-34.23,0.31,3.612,-31.7,6.7,2.54,6.39,1,1,1,0,0,0,0,0
-30.02,1.75,3.308,-27.1,7.46,2.92,5.71,1,1,1,0,0,0,0,0
-24.16,3.91,3.017,-22.5,8.28,1.66,4.37,1,1,1,0,0,0,1,0
-17.58,4.83,3.154,-20.83,13.7,-3.25,8.86,0,1,1,0,0,0,0,0
-13.98,7.61,3.083,-18.78,18.32,-4.8,10.71,0,1,1,0,0,0,1,0
-11.51,8.94,2.972,-17.31,21.9,-5.8,12.95,0,1,0,0,1,0,0,0
-15.62,13.47,3.025,-17.42,20.36,-1.8,6.89,0,1,0,0,1,0,0,0
-17.89,14.09,3.131,-18.21,16.26,-0.32,2.18,0,1,0,0,1,0,0,0
-19.53,14.29,3.272,-19.37,10.76,0.16,-3.53,0,1,0,0,1,0,0,0
-17.99,10.59,3.454,-20.72,4.73,-2.73,-5.86,0,1,0,0,1,0,1,0
-19.22,7.2,3.657,-21.91,-1.97,-2.68,-9.17,0,1,0,0,0,0,0,0
-20.77,3.8,3.725,-22.63,-7.33,-1.86,-11.14,1,1,0,0,0,0,1,0
-21.28,1.44,3.629,-23.38,-7.3,-2.1,-8.74,1,1,0,0,0,0,0,0
-20.66,0.31,3.461,-24.01,-6.26,-3.34,-6.57,1,1,0,0,0,0,1,0
-20.35,-0.21,3.395,-22.69,-4.15,-2.33,-3.95,1,1,1,0,0,0,0,0
-19.33,-0.21,3.531,-20.57,-0.86,-1.24,-0.65,1,0,1,0,0,0,1,0
-18.71,2.37,3.785,-17.77,-3.5,0.94,-5.87,1,0,1,0,0,0,0,0
-16.14,2.98,4.041,-15.72,-4.98,0.42,-7.96,1,0,1,1,0,0,1,1
-13.98,4.22,4.37,-13.67,-6.17,0.31,-10.39,1,0,1,1,0,0,0,0
-15.01,5.96,4.418,-13.67,-6.62,1.34,-12.59,1,0,0,0,1,0,1,0
