tick,player_x,player_y,player_z,player_yaw,player_pitch,on_ground,my_vx,my_vz,my_hurt,target_x,target_y,target_z,target_dist,tgt_vx,tgt_vz,tgt_hurt,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
227,490126.5116459651,73.0,5137.111763951837,185.552,0.206,1,-0.003,-0.1241,0,490127.045658974,73.0,5128.683983375198,8.445,-0.0144,0.2848,0,1,1,0,0,0,0,0
228,490126.4290207995,73.0,5136.943623405572,186.066,0.308,1,-0.0826,-0.1681,0,490127.030439316,73.0,5128.9664055834655,8.0,-0.0152,0.2824,0,1,1,0,0,0,0,0
229,490126.30220952793,73.0,5136.750697737659,186.272,0.308,1,-0.1268,-0.1929,0,490127.01521965803,73.0,5129.248827791733,7.536,-0.0152,0.2824,0,1,1,0,0,0,1,0
230,490126.1515832544,73.0,5136.5439892161585,185.758,0.925,1,-0.1506,-0.2067,0,490126.97889643867,73.0,5129.5304685278215,7.062,-0.0363,0.2816,0,1,1,0,0,0,0,0
231,490126.0820231553,73.0,5136.304359132197,185.86,0.514,1,-0.0696,-0.2396,0,490126.9425732193,73.0,5129.81210926391,6.549,-0.0363,0.2816,0,1,0,0,0,0,1,0
232,490126.1447872191,73.0,5136.091358673685,185.346,1.028,1,0.0628,-0.213,0,490126.96171547956,73.0,5130.062239509273,6.084,0.0191,0.2501,0,1,0,0,1,0,0,0
233,490126.279039811,73.0,5135.891974247024,185.963,0.411,1,0.1343,-0.1994,0,490126.9808577398,73.0,5130.312369754636,5.624,0.0191,0.2501,0,1,0,0,1,0,1,0
234,490126.4532115393,73.0,5135.701102556752,183.29,1.234,1,0.1742,-0.1909,0,490127.06015515985,73.0,5130.562413169758,5.174,0.0793,0.25,0,1,0,0,1,0,0,0
235,490126.6452997056,73.0,5135.5103253093475,180.514,1.439,1,0.1921,-0.1908,0,490127.1394525799,73.0,5130.812456584879,4.724,0.0793,0.25,0,1,0,0,1,0,1,0
236,490126.84280605573,73.0,5135.314944803023,177.841,2.159,1,0.1975,-0.1954,0,490127.2492183866,73.0,5131.062471056586,4.272,0.1098,0.25,0,1,0,0,1,0,0,0
237,490127.0389764434,73.0,5135.112886385207,175.991,2.776,1,0.1962,-0.2021,0,490127.3589841933,73.0,5131.312485528293,3.814,0.1098,0.25,0,1,0,0,1,0,1,0
238,490127.2312995436,73.0,5134.904386317301,173.934,4.112,1,0.1923,-0.2085,0,490127.4684894622,73.0,5131.572907018862,3.34,0.1095,0.2604,0,1,0,0,1,0,0,0
239,490127.41785069136,73.0,5134.689299141005,173.626,5.141,1,0.1866,-0.2151,0,490127.57799473114,73.0,5131.83332850943,2.86,0.1095,0.2604,0,1,0,0,1,0,1,0
240,490127.60078355897,73.0,5134.470241220052,176.299,5.346,1,0.1829,-0.2191,0,490127.5519964874,73.0,5132.055552339621,2.415,-0.026,0.2222,0,1,0,0,1,0,0,0
241,490127.74637731625,73.0,5134.300694867337,176.71,8.225,1,0.1456,-0.1695,0,490127.5259982437,73.0,5132.277776169811,2.035,-0.026,0.2222,0,1,0,0,1,0,0,0
242,490127.88048625155,73.0,5134.148028419087,174.448,12.132,1,0.1341,-0.1527,0,490127.40274882916,73.0,5132.4768507798735,1.738,-0.1232,0.1991,0,1,0,0,1,0,1,0
243,490128.03618084866,73.0,5133.9641811911815,169.411,17.889,1,0.1557,-0.1838,0,490127.2794994146,73.0,5132.675925389936,1.494,-0.1232,0.1991,10,1,0,0,1,0,0,0
244,490128.13683631294,73.0,5133.840920117118,166.738,19.945,1,0.1007,-0.1233,0,490127.0300829431,73.11458333333333,5132.565200259957,1.693,-0.2494,-0.1107,9,1,0,0,1,0,1,1
245,490128.26016054413,73.0,5133.663048156081,157.587,21.693,1,0.1233,-0.1779,0,490126.7806664716,73.22916666666666,5132.454475129978,1.924,-0.2494,-0.1107,8,1,0,0,1,0,0,0
246,490128.27874172083,73.0,5133.448227823263,139.184,22.516,1,0.0186,-0.2148,0,490126.56211098103,73.4236111111111,5132.177983419985,2.177,-0.2186,-0.2765,7,1,0,0,0,0,1,0
247,490128.20552495687,73.0,5133.234595281442,131.165,19.74,1,-0.0732,-0.2136,0,490126.3435554905,73.61805555555554,5131.901491709992,2.372,-0.2186,-0.2765,6,1,0,0,0,0,0,0
248,490128.08558315196,73.0,5133.080804689925,128.903,12.337,1,-0.1199,-0.1538,0,490126.16653699364,73.7349537037037,5131.621827806662,2.52,-0.177,-0.2797,5,1,0,0,0,0,1,0
